# T_K Q_known N_convergence Nconv_over_Ntotal tail_fraction Emax_over_T
1.00000000e+01 8.78649567e+01 7.50000000e+01 6.57894737e-03 0.00000000e+00 5.84688207e+02
1.62377674e+01 2.12234255e+02 1.23000000e+02 1.07894737e-02 0.00000000e+00 3.60079187e+02
2.63665090e+01 5.02695621e+02 2.00000000e+02 1.75438596e-02 0.00000000e+00 2.21754123e+02
4.28133240e+01 1.15139912e+03 3.79000000e+02 3.32456140e-02 0.00000000e+00 1.36566880e+02
6.95192796e+01 2.57733829e+03 8.62000000e+02 7.56140351e-02 0.00000000e+00 8.41044687e+01
1.12883789e+02 5.86403650e+03 1.97700000e+03 1.73421053e-01 1.52150196e-13 5.17955866e+01
1.83298071e+02 1.41626167e+04 4.29100000e+03 3.76403509e-01 1.91939232e-08 3.18982193e+01
2.97635144e+02 3.64480395e+04 7.71300000e+03 6.76578947e-01 1.94047459e-05 1.96444613e+01
4.83293024e+02 9.55971153e+04 1.02730000e+04 9.01140351e-01 1.02348036e-03 1.20980064e+01
7.84759970e+02 2.34517784e+05 1.11300000e+04 9.76315789e-01 9.18130903e-03 7.45053557e+00
1.27427499e+03 4.92397223e+05 1.13240000e+04 9.93333333e-01 3.02511699e-02 4.58839900e+00
2.06913808e+03 8.54669346e+05 1.13690000e+04 9.97280702e-01 5.81955707e-02 2.82575732e+00
3.35981829e+03 1.25078314e+06 1.13830000e+04 9.98508772e-01 8.40939283e-02 1.74023759e+00
5.45559478e+03 1.60802388e+06 1.13880000e+04 9.98947368e-01 1.04020273e-01 1.07172221e+00
8.85866790e+03 1.88944347e+06 1.13900000e+04 9.99122807e-01 1.17926065e-01 6.60018203e-01
1.43844989e+04 2.09202450e+06 1.13920000e+04 9.99298246e-01 1.27131060e-01 4.06471030e-01
2.33572147e+04 2.22960429e+06 1.13920000e+04 9.99298246e-01 1.33046639e-01 2.50324457e-01
3.79269019e+04 2.31965299e+06 1.13930000e+04 9.99385965e-01 1.36783898e-01 1.54161869e-01
6.15848211e+04 2.37724327e+06 1.13930000e+04 9.99385965e-01 1.39121298e-01 9.49403111e-02
1.00000000e+05 2.41354801e+06 1.13930000e+04 9.99385965e-01 1.40574384e-01 5.84688207e-02
