# T_K Q_total N_convergencia_1e-3 fraccion_ultimo_10porciento Emax_sobre_T
1.000000e+01 8.786496e+01 75 0.000000e+00 5.846882e+02
1.623777e+01 2.122343e+02 123 0.000000e+00 3.600792e+02
2.636651e+01 5.026956e+02 200 0.000000e+00 2.217541e+02
4.281332e+01 1.151399e+03 379 0.000000e+00 1.365669e+02
6.951928e+01 2.577338e+03 862 0.000000e+00 8.410447e+01
1.128838e+02 5.864036e+03 1977 1.521502e-13 5.179559e+01
1.832981e+02 1.416262e+04 4291 1.919392e-08 3.189822e+01
2.976351e+02 3.644804e+04 7713 1.940475e-05 1.964446e+01
4.832930e+02 9.559712e+04 10273 1.023480e-03 1.209801e+01
7.847600e+02 2.345178e+05 11130 9.181309e-03 7.450536e+00
1.274275e+03 4.923972e+05 11324 3.025117e-02 4.588399e+00
2.069138e+03 8.546693e+05 11369 5.819557e-02 2.825757e+00
3.359818e+03 1.250783e+06 11383 8.409393e-02 1.740238e+00
5.455595e+03 1.608024e+06 11388 1.040203e-01 1.071722e+00
8.858668e+03 1.889443e+06 11390 1.179261e-01 6.600182e-01
1.438450e+04 2.092024e+06 11392 1.271311e-01 4.064710e-01
2.335721e+04 2.229604e+06 11392 1.330466e-01 2.503245e-01
3.792690e+04 2.319653e+06 11393 1.367839e-01 1.541619e-01
6.158482e+04 2.377243e+06 11393 1.391213e-01 9.494031e-02
1.000000e+05 2.413548e+06 11393 1.405744e-01 5.846882e-02
