# T_K Q_known Q_missing Q_estimated missing_fraction
2.72500000e+00 1.18899449e+01 0.00000000e+00 1.18899449e+01 0.00000000e+00
2.78300553e+00 1.21738531e+01 0.00000000e+00 1.21738531e+01 0.00000000e+00
2.84224578e+00 1.24683651e+01 0.00000000e+00 1.24683651e+01 0.00000000e+00
2.90274705e+00 1.27739644e+01 0.00000000e+00 1.27739644e+01 0.00000000e+00
2.96453618e+00 1.30911578e+01 0.00000000e+00 1.30911578e+01 0.00000000e+00
3.02764058e+00 1.34204769e+01 0.00000000e+00 1.34204769e+01 0.00000000e+00
3.09208824e+00 1.37624785e+01 0.00000000e+00 1.37624785e+01 0.00000000e+00
3.15790777e+00 1.41177461e+01 0.00000000e+00 1.41177461e+01 0.00000000e+00
3.22512835e+00 1.44868908e+01 0.00000000e+00 1.44868908e+01 0.00000000e+00
3.29377983e+00 1.48705521e+01 0.00000000e+00 1.48705521e+01 0.00000000e+00
3.36389265e+00 1.52693995e+01 0.00000000e+00 1.52693995e+01 0.00000000e+00
3.43549792e+00 1.56841331e+01 0.00000000e+00 1.56841331e+01 0.00000000e+00
3.50862741e+00 1.61154851e+01 0.00000000e+00 1.61154851e+01 0.00000000e+00
3.58331357e+00 1.65642207e+01 0.00000000e+00 1.65642207e+01 0.00000000e+00
3.65958953e+00 1.70311393e+01 0.00000000e+00 1.70311393e+01 0.00000000e+00
3.73748913e+00 1.75170759e+01 0.00000000e+00 1.75170759e+01 0.00000000e+00
3.81704694e+00 1.80229021e+01 0.00000000e+00 1.80229021e+01 0.00000000e+00
3.89829825e+00 1.85495274e+01 0.00000000e+00 1.85495274e+01 0.00000000e+00
3.98127911e+00 1.90979004e+01 0.00000000e+00 1.90979004e+01 0.00000000e+00
4.06602633e+00 1.96690102e+01 0.00000000e+00 1.96690102e+01 0.00000000e+00
4.15257752e+00 2.02638877e+01 0.00000000e+00 2.02638877e+01 0.00000000e+00
4.24097108e+00 2.08836069e+01 0.00000000e+00 2.08836069e+01 0.00000000e+00
4.33124622e+00 2.15292861e+01 0.00000000e+00 2.15292861e+01 0.00000000e+00
4.42344300e+00 2.22020896e+01 0.00000000e+00 2.22020896e+01 0.00000000e+00
4.51760231e+00 2.29032288e+01 0.00000000e+00 2.29032288e+01 0.00000000e+00
4.61376595e+00 2.36339641e+01 0.00000000e+00 2.36339641e+01 0.00000000e+00
4.71197656e+00 2.43956058e+01 0.00000000e+00 2.43956058e+01 0.00000000e+00
4.81227773e+00 2.51895161e+01 0.00000000e+00 2.51895161e+01 0.00000000e+00
4.91471395e+00 2.60171105e+01 0.00000000e+00 2.60171105e+01 0.00000000e+00
5.01933067e+00 2.68798594e+01 0.00000000e+00 2.68798594e+01 0.00000000e+00
5.12617431e+00 2.77792896e+01 0.00000000e+00 2.77792896e+01 0.00000000e+00
5.23529227e+00 2.87169864e+01 0.00000000e+00 2.87169864e+01 0.00000000e+00
5.34673296e+00 2.96945950e+01 0.00000000e+00 2.96945950e+01 0.00000000e+00
5.46054583e+00 3.07138222e+01 0.00000000e+00 3.07138222e+01 0.00000000e+00
5.57678136e+00 3.17764387e+01 0.00000000e+00 3.17764387e+01 0.00000000e+00
5.69549114e+00 3.28842806e+01 0.00000000e+00 3.28842806e+01 0.00000000e+00
5.81672782e+00 3.40392517e+01 0.00000000e+00 3.40392517e+01 0.00000000e+00
5.94054520e+00 3.52433253e+01 0.00000000e+00 3.52433253e+01 0.00000000e+00
6.06699821e+00 3.64985463e+01 0.00000000e+00 3.64985463e+01 0.00000000e+00
6.19614295e+00 3.78070337e+01 0.00000000e+00 3.78070337e+01 0.00000000e+00
6.32803673e+00 3.91709826e+01 0.00000000e+00 3.91709826e+01 0.00000000e+00
6.46273805e+00 4.05926665e+01 0.00000000e+00 4.05926665e+01 0.00000000e+00
6.60030668e+00 4.20744400e+01 0.00000000e+00 4.20744400e+01 0.00000000e+00
6.74080366e+00 4.36187413e+01 0.00000000e+00 4.36187413e+01 0.00000000e+00
6.88429131e+00 4.52280946e+01 0.00000000e+00 4.52280946e+01 0.00000000e+00
7.03083331e+00 4.69051129e+01 0.00000000e+00 4.69051129e+01 0.00000000e+00
7.18049466e+00 4.86525010e+01 0.00000000e+00 4.86525010e+01 0.00000000e+00
7.33334177e+00 5.04730583e+01 0.00000000e+00 5.04730583e+01 0.00000000e+00
7.48944245e+00 5.23696819e+01 0.00000000e+00 5.23696819e+01 0.00000000e+00
