# T_K Q_known Q_missing Q_estimated missing_fraction Emax_over_T
1.00000000e+01 8.78649567e+01 2.67373736e-250 8.78649567e+01 3.04300765e-252 5.84688207e+02
2.00000000e+01 3.08635332e+02 4.92373044e-123 3.08635332e+02 1.59532300e-125 2.92344104e+02
5.00000000e+01 1.49196344e+03 1.86392669e-46 1.49196344e+03 1.24931124e-49 1.16937641e+02
1.00000000e+02 4.75404090e+03 9.28282279e-21 4.75404090e+03 1.95261736e-24 5.84688207e+01
2.00000000e+02 1.67210224e+04 9.37631285e-08 1.67210224e+04 5.60749974e-12 2.92344104e+01
3.00000000e+02 3.70274894e+04 2.43836516e-03 3.70274918e+04 6.58528310e-08 1.94896069e+01
5.00000000e+02 1.02146840e+05 1.01864659e+01 1.02157026e+05 9.97138053e-05 1.16937641e+01
1.00000000e+03 3.47800199e+05 7.58545652e+03 3.55385655e+05 2.13442957e-02 5.84688207e+00
2.00000000e+03 8.27195282e+05 3.21709839e+05 1.14890512e+06 2.80014279e-01 2.92344104e+00
3.00000000e+03 1.15948655e+06 1.43448819e+06 2.59397474e+06 5.53007771e-01 1.94896069e+00
5.00000000e+03 1.54881587e+06 6.33710957e+06 7.88592544e+06 8.03597449e-01 1.16937641e+00
1.00000000e+04 1.94709794e+06 3.26980632e+07 3.46451612e+07 9.43798849e-01 5.84688207e-01
2.00000000e+04 2.19155551e+06 1.40026225e+08 1.42217780e+08 9.84590144e-01 2.92344104e-01
5.00000000e+04 2.35565736e+06 8.74454927e+08 8.76810584e+08 9.97313379e-01 1.16937641e-01
1.00000000e+05 2.41354801e+06 3.43051310e+09 3.43292665e+09 9.99296942e-01 5.84688207e-02
