# T_K Q_table Q_known Q_missing Q_estimated relative_error_known relative_error_estimated
2.72500000e+00 1.18904968e+01 1.18899449e+01 0.00000000e+00 1.18899449e+01 -4.64142111e-05 -4.64142111e-05
5.00000000e+00 2.67177573e+01 2.67191080e+01 0.00000000e+00 2.67191080e+01 5.05552272e-05 5.05552272e-05
9.37500000e+00 7.81807802e+01 7.81739347e+01 2.95520662e-267 7.81739347e+01 -8.75597351e-05 -8.75597351e-05
1.87500000e+01 2.74979299e+02 2.74989037e+02 1.58470186e-131 2.74989037e+02 3.54147244e-05 3.54147244e-05
3.75000000e+01 9.20873552e+02 9.20967124e+02 1.64491711e-63 9.20967124e+02 1.01612222e-04 1.01612222e-04
7.50000000e+01 2.92415238e+03 2.92431288e+03 2.38094261e-29 2.92431288e+03 5.48891728e-05 5.48891728e-05
1.50000000e+02 9.74989638e+03 9.75007851e+03 4.08794011e-12 9.75007851e+03 1.86806582e-05 1.86806582e-05
2.25000000e+02 2.09893988e+04 2.09918986e+04 2.72656306e-06 2.09918986e+04 1.19095953e-04 1.19096083e-04
3.00000000e+02 3.70254205e+04 3.70274894e+04 2.43836516e-03 3.70274918e+04 5.58764011e-05 5.59422576e-05
5.00000000e+02 1.02140975e+05 1.02146840e+05 1.01864659e+01 1.02157026e+05 5.74188485e-05 1.57148324e-04
1.00000000e+03 3.47776314e+05 3.47800199e+05 7.58545652e+03 3.55385655e+05 6.86792592e-05 2.18799879e-02
